net,length_um
u_decod.branch_imm_q_o\[8\],122.34
net337,122.32
net512,122.18
_04995_,121.95
net284,121.92
_01467_,121.52
_02992_,121.52
_03521_,121.315
_04482_,121.29
net89,121.225
u_decod.branch_imm_q_o\[4\],120.94
_03833_,120.88
net201,120.75
_04985_,120.72
clknet_leaf_55_clk,120.56
_05223_,120.46
_03403_,120.36
_04495_,120.3
clknet_leaf_14_clk,120.28
net276,120.23
u_rf.reg28_q\[27\],119.93
_04959_,119.91
_02744_,119.855
clknet_leaf_58_clk,119.74
clknet_leaf_7_clk,119.495
_04480_,119.48
clknet_leaf_5_clk,119.06
_01530_,118.61
_02545_,118.44
_03230_,118.22
_01493_,118.175
_01736_,117.88
_01513_,117.875
_02032_,117.82
net61,117.66
_01626_,117.43
_04101_,117.28
_02763_,117.22
_01637_,117.19
u_decod.exe_ff_res_data_i\[2\],117.08
_04993_,116.9
net196,116.72
clknet_leaf_28_clk,116.7
net274,116.57
net260,116.55
_04734_,116.47
u_decod.dec0.funct7\[0\],116.4
net372,116.26
_03585_,116.22
net155,116.2
net102,116.18
_02882_,116.05
_04463_,115.8
u_decod.rf_ff_res_data_i\[10\],115.705
net280,115.55
_04983_,115.38
_04469_,115.275
u_decod.pc_q_o\[0\],115.12
net168,115.08
_01703_,115.02
_04386_,114.84
_04987_,114.7
_02693_,114.68
_04474_,114.66
u_decod.branch_imm_q_o\[10\],114.54
_01059_,114.53
_01531_,114.51
net30,114.38
_01445_,114.3
net289,114.27
net24,114.26
clknet_leaf_30_clk,114.18
u_decod.pc0_q_i\[12\],114.14
net241,114.1
_03102_,113.97
clknet_leaf_113_clk,113.84
_01607_,113.73
_01578_,113.7
net233,113.67
net351,113.29
_02927_,112.92
_03542_,112.92
_03668_,112.84
_02840_,112.83
clknet_leaf_119_clk,112.8
net277,112.62
clknet_leaf_95_clk,112.56
_01744_,112.29
clknet_leaf_10_clk,112
_03020_,111.56
clknet_leaf_35_clk,111.45
_01481_,111.12
net265,110.885
_01295_,110.83
u_decod.rf_ff_res_data_i\[28\],110.655
_04759_,110.53
net17,110.52
_03564_,110.46
net64,110.42
net251,110.35
net304,110.155
u_rf.reg0_q\[19\],110.06
net305,110.06
_01442_,110.04
_04484_,109.99
clknet_leaf_3_clk,109.86
_04397_,109.78
net213,109.54
net166,109.44
_01685_,109.305
_01315_,109.09
net275,109.06
net151,108.97
u_decod.branch_imm_q_o\[20\],108.96
_04782_,108.78
clknet_leaf_87_clk,108.72
net346,108.71
_04966_,108.65
net335,108.54
_03105_,108.48
net297,108.43
_05620_,108.42
net273,108.4
_04444_,108.275
u_decod.rs2_data_q\[0\],108.08
u_decod.branch_imm_q_o\[17\],108.045
_04398_,107.98
clknet_leaf_47_clk,107.94
_04385_,107.825
net292,107.41
_01434_,107.22
_02334_,106.86
net283,106.85
net288,106.82
_04999_,106.74
net60,106.7
_04980_,106.68
clknet_leaf_84_clk,106.36
_02549_,106.3
net231,106.28
_03218_,106.24
_03814_,106.22
_03793_,106.02
net376,105.82
_01421_,105.78
net300,105.7
clknet_leaf_12_clk,105.7
clknet_leaf_83_clk,105.42
net320,105.32
